timestamp,question,run,stt_latency,llm_latency,tts_latency,total_latency
2025-05-11 11:42:37,안녕,1,0.0,1.29,0.55,1.85
2025-05-11 11:45:39,안녕,1,0.0,0.9,0.58,1.81
2025-05-11 11:46:15,안녕,1,0.0,1.16,0.45,1.7
2025-05-11 11:48:56,몇 시야,1,0.11,1.19,0.44,1.75
2025-05-11 12:37:41,지금 몇 시야,1,0.12,0.65,0.43,1.24
2025-05-11 12:38:27,지금 몇 시야,1,0.11,1.34,0.42,1.91
2025-05-11 12:39:09,지금 몇 시야,1,0.11,0.76,0.44,1.34
2025-05-11 12:41:15,지금 몇 시야,1,0.12,0.88,0.43,1.46
2025-05-11 12:41:26,몇 시야,2,0.12,0.85,0.51,1.56
2025-05-11 12:43:18,시간 알려 줘,1,0.12,0.0,0.5,0.63
2025-05-11 12:43:26,시간이 없어,2,0.12,0.0,0.45,0.57
2025-05-11 12:43:35,몇 시야,3,0.11,1.21,0.41,1.74
2025-05-11 12:43:42,시간 알려 줘,4,0.12,0.0,0.65,0.77
2025-05-11 12:45:38,몇 시야,1,0.12,0.0,0.41,0.53
2025-05-11 12:45:51,약속이 몇 시에 있다 했었지,2,0.12,0.0,0.41,0.53
2025-05-11 12:49:15,몇 시야,1,0.12,0.8,0.41,1.37
2025-05-11 12:55:44,몇 시야,1,0.12,0.91,0.39,1.49
2025-05-11 12:56:19,몇 시야,1,0.12,0.92,0.42,1.52
2025-05-11 12:59:01,몇 시야,1,0.11,1.12,0.52,1.91
2025-05-11 13:00:09,몇 시야,1,0.11,0.6,0.42,1.16
2025-05-11 13:01:21,몇 시야,1,0.12,0.82,0.42,1.42
2025-05-11 13:04:06,시간,1,0.12,1.03,0.45,1.63
2025-05-11 13:04:29,지금 시각,2,0.11,1.35,0.42,2.18
2025-05-11 13:06:31,몇 시,1,0.12,0.0,0.45,0.58
2025-05-11 13:06:39,몇 시야,2,0.12,0.0,0.42,0.54
2025-05-11 13:06:46,시각 알려 줘,3,0.11,0.0,0.5,0.61
2025-05-11 13:06:53,현재 시간 알려 줘,4,0.12,0.0,0.45,0.57
2025-05-11 13:08:06,1시,5,0.12,0.84,0.52,1.55
2025-05-11 13:19:23,몇 시야,1,0.11,0.0,0.44,0.56
2025-05-11 13:26:54,몇 시야,1,0.12,0.0,0.47,0.59
2025-05-11 13:27:05,날씨는,2,0.11,0.61,0.52,1.25
2025-05-11 13:27:18,날씨 알려 줘,3,0.12,0.7,0.5,1.33
2025-05-11 13:28:25,날씨,1,0.12,0.66,0.62,1.41
